id,value,feed_id,created_at,lat,lon,ele
0FTZHZNZWFFKQP7KGD695RBYY7,36.0331,3025962,2025-03-14 22:35:26 UTC,,,
0FTZHZTW30DBAT15RA3M9GG02K,36.0331,3025962,2025-03-14 22:35:42 UTC,,,
0FTZHZZR9SB4DMRXRXT8NM7YJ5,35.5649,3025962,2025-03-14 22:35:58 UTC,,,
0FTZJ04MPK5PY5VAG79KBK26KY,35.5649,3025962,2025-03-14 22:36:14 UTC,,,
0FTZJ09GW3QGYM7RZ9ME9ZD5V7,35.5649,3025962,2025-03-14 22:36:30 UTC,,,
0FTZJ0ED601K7P7QYSCWEZGN7C,35.5649,3025962,2025-03-14 22:36:46 UTC,,,
0FTZJ0K9D126D2XMHJRYFRYRZE,35.0968,3025962,2025-03-14 22:37:02 UTC,,,
0FTZJ0R5R5VPRNMJVP3NKGK9K4,35.0968,3025962,2025-03-14 22:37:18 UTC,,,
0FTZJ0X20KJ5VDZA1NG2Z5GHSP,35.0968,3025962,2025-03-14 22:37:34 UTC,,,
0FTZJ11YAFEHNZ3CAC7WXWNNY7,35.0968,3025962,2025-03-14 22:37:50 UTC,,,
0FTZJ16TJQ5Q7P5Z09TWD87FSN,35.0968,3025962,2025-03-14 22:38:06 UTC,,,
0FTZJ1BPWQX8FDNKK2Y6Q0M63R,35.0968,3025962,2025-03-14 22:38:22 UTC,,,
0FTZJ1GK7C7F3264WE472KE8BP,35.0968,3025962,2025-03-14 22:38:38 UTC,,,
0FTZJ1NFG3B15X83E2FEH1K1VA,35.5649,3025962,2025-03-14 22:38:54 UTC,,,
0FTZJ1TBQCXR9JKPJEA9W7FK9F,35.0968,3025962,2025-03-14 22:39:10 UTC,,,
0FTZJ1Z8215VZ7BPTB57MWTPAE,35.0968,3025962,2025-03-14 22:39:26 UTC,,,
0FTZJ2448Y8MM9M5740M4351V7,35.0968,3025962,2025-03-14 22:39:42 UTC,,,
0FTZJ290KTCE7BZABKZJXSEGE3,35.0968,3025962,2025-03-14 22:39:58 UTC,,,
0FTZJ2DWWBBAS3W23G4QD3YZXN,35.5649,3025962,2025-03-14 22:40:14 UTC,,,
